,$,private,public,dot,rpar,lpar,id,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
START,REPTSTART0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0,,,,,,,,REPTSTART0,,
ADDOP,,,,,,,,,,,,,,,,,,,,minus,plus,,,,,,,,,,,,,,,,,,,,,,,,,,,or
APARAMS,,,,,&epsilon,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,,,,,,,,,,,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqbr Flsqbr,,,,,,,
Flsqbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsqbr,,,,,intlit rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equal,
ASSIGNSTAT,,,,,,,VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class id OPTCLASSDECL2 lcurbr REPTCLASSDECL4 rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF,,,,,,,,CLASSDECL,,
EXPR,,,,,,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,,,,,,,,,,,,,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,,,,,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,FACTOR RIGHTRECTERM RIGHTRECARITHEXPR EXPR2,,,
EXPR2,,,,,&epsilon,,,,,&epsilon,,,,,,,,,,,,,&epsilon,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,,lpar ARITHEXPR rpar,id FACTOR2,,,,,,,,,,,,,SIGN FACTOR,SIGN FACTOR,,,,,,,,,,,,,,,,,,,,,,not FACTOR,floatlit,intlit,,,
FACTOR2,,,,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,lpar APARAMS rpar FACTOR4,,,,REPTVARIABLE2 FACTOR3,,,,,,,,,,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,,,,,,,REPTVARIABLE2 FACTOR3,REPTVARIABLE2 FACTOR3,,,,,,,REPTVARIABLE2 FACTOR3
FACTOR3,,,,dot FACTOR,&epsilon,,,,,&epsilon,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,,,,,,,&epsilon,,,,,,,,&epsilon
FACTOR4,,,,dot FACTOR,&epsilon,,,,,&epsilon,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,,,,,,,&epsilon,,,,,,,,&epsilon
FPARAMS,,,,,&epsilon,,id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,function Ffunction,,,,,,,,,,
Ffunction,,,,,,,id Fid2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fid2,,,,,,lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sr Fsr,,,,,,
Fsr,,,,,,,id lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,constructor lpar FPARAMS rpar,,,,,,,,,,,,
FUNCTIONCALL,,,,,,,id FFUNCid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFUNCid,,,,REPTIDNEST1 dot FUNCTIONCALL,,lpar APARAMS rpar FFUNCid2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIDNEST1 dot FUNCTIONCALL,,,,,,,
FFUNCid2,,,,dot FUNCTIONCALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST,,,,,,,id Fid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fid3,,,,REPTIDNEST1 dot,,lpar APARAMS rpar dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIDNEST1 dot,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar Flocalvar,,,,,,,,,
Flocalvar,,,,,,,id Fid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colon Fcolon,,,,,,,,,,,,,,
Fcolon,,,,,,,TYPE FTYPE,TYPE FTYPE,TYPE FTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTYPE,,,,,,lpar APARAMS rpar semi,,,,REPTLOCALVARDECL4 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARDECL4 semi,,,,,,,
LOCALVARDECLORSTMT,,,,,,,STATEMENT,,,,STATEMENT,STATEMENT,STATEMENT,STATEMENT,,,STATEMENT,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTMT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL,MEMBERFUNCDECL,,MEMBERFUNCDECL,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,constructor colon lpar FPARAMS rpar semi,,function id colon lpar FPARAMS rpar arrow RETURNTYPE semi,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attribute id colon TYPE REPTMEMBERVARDECL4 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,div,mult,,,,,,,,,,,,,,,
OPTCLASSDECL2,,,,,,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,isa id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,
RELEXPR,,,,,,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,geq,leq,gt,lt,neq,eq,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,,&epsilon,,,,,,,,,,,,,,,,,,APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTCLASSDECL4,,VISIBILITY MEMBERDECL REPTCLASSDECL4,VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,VISIBILITY MEMBERDECL REPTCLASSDECL4,VISIBILITY MEMBERDECL REPTCLASSDECL4,,VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,
REPTFPARAMS3,,,,,&epsilon,,,,,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,,&epsilon,,,,,,,,,,,,,,,,,,FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,,&epsilon,,,,,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTFUNCBODY1,,,,,,,LOCALVARDECLORSTMT REPTFUNCBODY1,,,,LOCALVARDECLORSTMT REPTFUNCBODY1,LOCALVARDECLORSTMT REPTFUNCBODY1,LOCALVARDECLORSTMT REPTFUNCBODY1,LOCALVARDECLORSTMT REPTFUNCBODY1,,,LOCALVARDECLORSTMT REPTFUNCBODY1,&epsilon,,,,,,,,,,,,,,,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,,,
REPTFUNCTIONCALL0,,,,,,,IDNEST REPTFUNCTIONCALL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE REPTIDNEST1,,,,,,,
REPTLOCALVARDECL4,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE REPTLOCALVARDECL4,,,,,,,
REPTMEMBERVARDECL4,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE REPTMEMBERVARDECL4,,,,,,,
REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,&epsilon,,,,comma id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTART0,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF REPTSTART0,,,,,,,,CLASSDECLORFUNCDEF REPTSTART0,,
REPTSTATBLOCK1,,,,,,,STATEMENT REPTSTATBLOCK1,,,,STATEMENT REPTSTATBLOCK1,STATEMENT REPTSTATBLOCK1,STATEMENT REPTSTATBLOCK1,STATEMENT REPTSTATBLOCK1,,,STATEMENT REPTSTATBLOCK1,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE2,,,,&epsilon,&epsilon,,,,,&epsilon,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,,,,,,,&epsilon,INDICE REPTVARIABLE2,,,,,,&epsilon,&epsilon
RETURNTYPE,,,,,,,TYPE,TYPE,TYPE,,,,,,,,,,,,,void,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,&epsilon,,,,,&epsilon,,,,,,,,,,ADDOP TERM RIGHTRECARITHEXPR,ADDOP TERM RIGHTRECARITHEXPR,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,,,,,,,,,,&epsilon,,,,,,,,ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,,&epsilon,,,,,&epsilon,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,MULTOP FACTOR RIGHTRECTERM,MULTOP FACTOR RIGHTRECTERM,MULTOP FACTOR RIGHTRECTERM,,,,,,,&epsilon,,,,,,,,&epsilon
SIGN,,,,,,,,,,,,,,,,,,,,minus,plus,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,,,,STATEMENT,,,&epsilon,STATEMENT,STATEMENT,STATEMENT,STATEMENT,&epsilon,,STATEMENT,,lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,,id STATEMENT2,,,,return lpar EXPR rpar semi,write lpar EXPR rpar semi,read lpar VARIABLE rpar semi,while lpar RELEXPR rpar STATBLOCK semi,,,if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT2,,,,REPTVARIABLE2 STATEMENT3,,lpar APARAMS rpar STATEMENT4,,,,REPTVARIABLE2 STATEMENT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARIABLE2 STATEMENT3,,,,,,REPTVARIABLE2 STATEMENT3,
STATEMENT3,,,,dot STATEMENT,,,,,,semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP EXPR semi,
STATEMENT4,,,,dot STATEMENT,,,,,,semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP EXPR semi,
TERM,,,,,,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,,,,,,,,,,,,,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,,,
TYPE,,,,,,,id,float,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,,id FVARid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVARid,,,,REPTVARIABLE2 FVARid2,REPTVARIABLE2 FVARid2,lpar APARAMS rpar dot VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARIABLE2 FVARid2,,,,,,REPTVARIABLE2 FVARid2,
FVARid2,,,,dot VARIABLE,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&epsilon,
VISIBILITY,,private,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&epsilon,&epsilon,,&epsilon,,,,,,,,,,
